x,y,Object
-2.0,-2.0,1.0
2.0,-2.0,1.0
2.0,2.0,1.0
-2.0,2.0,1.0
0.75,0.0,0.0
0.745891,0.0783963,1.0
0.733611,0.155934,1.0
0.713292,0.231763,1.0
0.685159,0.305052,1.0
0.649519,0.375,1.0
0.606763,0.440839,1.0
0.557359,0.501848,1.0
0.501848,0.557359,1.0
0.440839,0.606763,1.0
0.375,0.649519,1.0
0.305052,0.685159,1.0
0.231763,0.713292,1.0
0.155934,0.733611,1.0
0.0783963,0.745891,1.0
0.0,0.75,1.0
-0.0783963,0.745891,1.0
-0.155934,0.733611,1.0
-0.231763,0.713292,1.0
-0.305052,0.685159,1.0
-0.375,0.649519,1.0
-0.440839,0.606763,1.0
-0.501848,0.557359,1.0
-0.557359,0.501848,1.0
-0.606763,0.440839,1.0
-0.649519,0.375,1.0
-0.685159,0.305052,1.0
-0.713292,0.231763,1.0
-0.733611,0.155934,1.0
-0.745891,0.0783963,1.0
-0.75,1e-16,1.0
-0.745891,-0.0783963,1.0
-0.733611,-0.155934,1.0
-0.713292,-0.231763,1.0
-0.685159,-0.305052,1.0
-0.649519,-0.375,1.0
-0.606763,-0.440839,1.0
-0.557359,-0.501848,1.0
-0.501848,-0.557359,1.0
-0.440839,-0.606763,1.0
-0.375,-0.649519,1.0
-0.305052,-0.685159,1.0
-0.231763,-0.713292,1.0
-0.155934,-0.733611,1.0
-0.0783963,-0.745891,1.0
-1e-16,-0.75,1.0
0.0783963,-0.745891,1.0
0.155934,-0.733611,1.0
0.231763,-0.713292,1.0
0.305052,-0.685159,1.0
0.375,-0.649519,1.0
0.440839,-0.606763,1.0
0.501848,-0.557359,1.0
0.557359,-0.501848,1.0
0.606763,-0.440839,1.0
0.649519,-0.375,1.0
0.685159,-0.305052,1.0
0.713292,-0.231763,1.0
0.733611,-0.155934,1.0
0.745891,-0.0783963,1.0
-1.6,-2.0,1.0
-1.2,-2.0,1.0
-0.8,-2.0,1.0
-0.4,-2.0,1.0
-5.50449e-12,-2.0,1.0
0.4,-2.0,1.0
0.8,-2.0,1.0
1.2,-2.0,1.0
1.6,-2.0,1.0
2.0,-1.6,1.0
2.0,-1.2,1.0
2.0,-0.8,1.0
2.0,-0.4,1.0
2.0,-5.50449e-12,1.0
2.0,0.4,1.0
2.0,0.8,1.0
2.0,1.2,1.0
2.0,1.6,1.0
1.6,2.0,1.0
1.2,2.0,1.0
0.8,2.0,1.0
0.4,2.0,1.0
5.50449e-12,2.0,1.0
-0.4,2.0,1.0
-0.8,2.0,1.0
-1.2,2.0,1.0
-1.6,2.0,1.0
-2.0,1.6,1.0
-2.0,1.2,1.0
-2.0,0.8,1.0
-2.0,0.4,1.0
-2.0,5.50449e-12,1.0
-2.0,-0.4,1.0
-2.0,-0.8,1.0
-2.0,-1.2,1.0
-2.0,-1.6,1.0
0.749933,0.00998356,0.0
0.749733,0.0199653,0.0
0.7494,0.0299436,0.0
0.748935,0.0399165,0.0
0.748338,0.0498824,0.0
0.747608,0.0598395,0.0
0.746746,0.069786,0.0
0.745751,0.0797201,0.0
0.744623,0.08964,0.0
0.743363,0.099544,0.0
0.741972,0.10943,0.0
0.740449,0.119297,0.0
0.738796,0.129143,0.0
0.737012,0.138966,0.0
0.735098,0.148765,0.0
0.733053,0.158537,0.0
0.730877,0.168281,0.0
0.728571,0.177995,0.0
0.726137,0.187677,0.0
0.723574,0.197326,0.0
0.720883,0.206941,0.0
0.718066,0.216519,0.0
0.715121,0.226058,0.0
0.712048,0.235558,0.0
0.708849,0.245015,0.0
0.705524,0.254429,0.0
0.702074,0.263797,0.0
0.6985,0.27312,0.0
0.694803,0.282394,0.0
0.690983,0.291618,0.0
0.687041,0.30079,0.0
0.682976,0.309909,0.0
0.678789,0.318973,0.0
0.674483,0.32798,0.0
0.670057,0.336929,0.0
0.665512,0.345818,0.0
0.66085,0.354647,0.0
0.656072,0.363413,0.0
0.651177,0.372114,0.0
0.646165,0.380749,0.0
0.641039,0.389317,0.0
0.635799,0.397815,0.0
0.630447,0.406243,0.0
0.624984,0.414599,0.0
0.61941,0.422882,0.0
0.613727,0.43109,0.0
0.607934,0.439222,0.0
0.602034,0.447275,0.0
0.596026,0.455249,0.0
0.589912,0.463142,0.0
0.583695,0.470954,0.0
0.577374,0.478682,0.0
0.570951,0.486326,0.0
0.564428,0.493883,0.0
0.557804,0.501353,0.0
0.55108,0.508734,0.0
0.544259,0.516024,0.0
0.537341,0.523222,0.0
0.530329,0.530329,0.0
0.523222,0.537341,0.0
0.516024,0.544259,0.0
0.508734,0.55108,0.0
0.501353,0.557804,0.0
0.493883,0.564428,0.0
0.486326,0.570951,0.0
0.478682,0.577374,0.0
0.470954,0.583695,0.0
0.463142,0.589912,0.0
0.455249,0.596026,0.0
0.447275,0.602034,0.0
0.439222,0.607934,0.0
0.43109,0.613727,0.0
0.422882,0.61941,0.0
0.414599,0.624984,0.0
0.406243,0.630447,0.0
0.397815,0.635799,0.0
0.389317,0.641039,0.0
0.380749,0.646165,0.0
0.372114,0.651177,0.0
0.363413,0.656072,0.0
0.354647,0.66085,0.0
0.345818,0.665512,0.0
0.336929,0.670057,0.0
0.32798,0.674483,0.0
0.318973,0.678789,0.0
0.309909,0.682976,0.0
0.30079,0.687041,0.0
0.291618,0.690983,0.0
0.282394,0.694803,0.0
0.27312,0.6985,0.0
0.263797,0.702074,0.0
0.254429,0.705524,0.0
0.245015,0.708849,0.0
0.235558,0.712048,0.0
0.226058,0.715121,0.0
0.216519,0.718066,0.0
0.206941,0.720883,0.0
0.197326,0.723574,0.0
0.187677,0.726137,0.0
0.177995,0.728571,0.0
0.168281,0.730877,0.0
0.158537,0.733053,0.0
0.148765,0.735098,0.0
0.138966,0.737012,0.0
0.129143,0.738796,0.0
0.119297,0.740449,0.0
0.10943,0.741972,0.0
0.099544,0.743363,0.0
0.08964,0.744623,0.0
0.0797201,0.745751,0.0
0.069786,0.746746,0.0
0.0598395,0.747608,0.0
