x,y,Object
-2.0,-2.0,1.0
2.0,-2.0,1.0
2.0,2.0,1.0
-2.0,2.0,1.0
0.498293,-0.0334989,0.0
0.496564,-0.0331323,1.0
0.493687,-0.0325233,1.0
0.489668,-0.0316752,1.0
0.484517,-0.0305923,1.0
0.478245,-0.0292801,1.0
0.470868,-0.0277451,1.0
0.4624,-0.0259949,1.0
0.452864,-0.0240379,1.0
0.442279,-0.0218834,1.0
0.430671,-0.0195412,1.0
0.418066,-0.017022,1.0
0.404494,-0.0143367,1.0
0.389985,-0.0114969,1.0
0.374574,-0.0085144,1.0
0.358296,-0.00540149,1.0
0.341188,-0.00217063,1.0
0.32329,0.00116547,1.0
0.304644,0.00459401,1.0
0.285292,0.00810154,1.0
0.265281,0.0116749,1.0
0.244655,0.0153004,1.0
0.223463,0.018964,1.0
0.201754,0.0226515,1.0
0.179578,0.0263484,1.0
0.156986,0.0300398,1.0
0.134032,0.0337103,1.0
0.110767,0.0373445,1.0
0.087246,0.0409261,1.0
0.0635229,0.044439,1.0
0.039653,0.0478666,1.0
0.0156911,0.0511921,1.0
-0.00830748,0.0543986,1.0
-0.0322872,0.0574691,1.0
-0.0561928,0.0603869,1.0
-0.0799692,0.0631355,1.0
-0.103561,0.0656986,1.0
-0.126915,0.0680608,1.0
-0.149976,0.0702075,1.0
-0.172692,0.0721249,1.0
-0.195009,0.0738001,1.0
-0.216877,0.075222,1.0
-0.238244,0.0763806,1.0
-0.259061,0.0772675,1.0
-0.27928,0.0778761,1.0
-0.298854,0.0782015,1.0
-0.317737,0.0782404,1.0
-0.335886,0.0779917,1.0
-0.353257,0.0774557,1.0
-0.36981,0.0766347,1.0
-0.385507,0.0755323,1.0
-0.400311,0.0741538,1.0
-0.414186,0.0725059,1.0
-0.427101,0.070596,1.0
-0.439024,0.0684329,1.0
-0.449928,0.0660254,1.0
-0.459786,0.0633833,1.0
-0.468576,0.0605163,1.0
-0.476277,0.0574339,1.0
-0.48287,0.0541452,1.0
-0.488341,0.0506589,1.0
-0.492676,0.0469829,1.0
-0.495866,0.0431238,1.0
-0.497902,0.0390874,1.0
-0.498782,0.0348782,1.0
-0.498497,0.0305876,1.0
-0.497041,0.026307,1.0
-0.49442,0.0220416,1.0
-0.490639,0.017798,1.0
-0.485706,0.0135843,1.0
-0.479635,0.00940996,1.0
-0.472438,0.00528579,1.0
-0.464133,0.00122333,1.0
-0.454738,-0.00276503,1.0
-0.444275,-0.00666656,1.0
-0.432769,-0.010468,1.0
-0.420246,-0.0141567,1.0
-0.406735,-0.0177196,1.0
-0.392268,-0.021145,1.0
-0.376877,-0.0244212,1.0
-0.360599,-0.0275381,1.0
-0.343471,-0.0304864,1.0
-0.325534,-0.0332585,1.0
-0.306829,-0.035848,1.0
-0.287401,-0.0382499,1.0
-0.267294,-0.0404612,1.0
-0.246556,-0.0424801,1.0
-0.225235,-0.0443065,1.0
-0.203382,-0.0459419,1.0
-0.181049,-0.0473889,1.0
-0.158288,-0.0486516,1.0
-0.135152,-0.0497353,1.0
-0.111697,-0.0506463,1.0
-0.0879777,-0.0513915,1.0
-0.0640502,-0.0519787,1.0
-0.0399711,-0.0524163,1.0
-0.0157975,-0.052713,1.0
0.00841383,-0.0528777,1.0
0.0326054,-0.0529194,1.0
0.05672,-0.0528472,1.0
0.0807011,-0.0526701,1.0
0.104492,-0.0523968,1.0
0.128036,-0.0520359,1.0
0.151278,-0.0515957,1.0
0.174163,-0.0510844,1.0
0.196638,-0.0505098,1.0
0.218649,-0.0498795,1.0
0.240145,-0.0492009,1.0
0.261074,-0.0484812,1.0
0.281389,-0.0477277,1.0
0.30104,-0.0469475,1.0
0.319981,-0.0461474,1.0
0.338169,-0.0453346,1.0
0.35556,-0.0445162,1.0
0.372114,-0.0436991,1.0
0.38779,-0.0428904,1.0
0.402553,-0.0420975,1.0
0.416367,-0.0413272,1.0
0.429199,-0.0405868,1.0
0.44102,-0.0398829,1.0
0.451802,-0.0392224,1.0
0.461518,-0.0386117,1.0
0.470146,-0.038057,1.0
0.477666,-0.0375637,1.0
0.484059,-0.0371371,1.0
0.489311,-0.0367817,1.0
0.493409,-0.0365012,1.0
0.496343,-0.0362985,1.0
0.498106,-0.0361761,1.0
0.498694,-0.0361352,1.0
-1.6,-2.0,1.0
-1.2,-2.0,1.0
-0.8,-2.0,1.0
-0.4,-2.0,1.0
-5.50449e-12,-2.0,1.0
0.4,-2.0,1.0
0.8,-2.0,1.0
1.2,-2.0,1.0
1.6,-2.0,1.0
2.0,-1.6,1.0
2.0,-1.2,1.0
2.0,-0.8,1.0
2.0,-0.4,1.0
2.0,-5.50449e-12,1.0
2.0,0.4,1.0
2.0,0.8,1.0
2.0,1.2,1.0
2.0,1.6,1.0
1.6,2.0,1.0
1.2,2.0,1.0
0.8,2.0,1.0
0.4,2.0,1.0
5.50449e-12,2.0,1.0
-0.4,2.0,1.0
-0.8,2.0,1.0
-1.2,2.0,1.0
-1.6,2.0,1.0
-2.0,1.6,1.0
-2.0,1.2,1.0
-2.0,0.8,1.0
-2.0,0.4,1.0
-2.0,5.50449e-12,1.0
-2.0,-0.4,1.0
-2.0,-0.8,1.0
-2.0,-1.2,1.0
-2.0,-1.6,1.0
0.488611,-0.0314527,0.0
0.478864,-0.0294093,0.0
0.469114,-0.0273817,0.0
0.45936,-0.0253694,0.0
0.449603,-0.0233724,0.0
0.439843,-0.0213902,0.0
0.43008,-0.0194226,0.0
0.420315,-0.0174695,0.0
0.410546,-0.0155306,0.0
0.400775,-0.0136058,0.0
0.391001,-0.0116946,0.0
0.381224,-0.00979705,0.0
0.371444,-0.00791308,0.0
0.361663,-0.00604219,0.0
0.351878,-0.00418478,0.0
0.342091,-0.00234025,0.0
0.332302,-0.00050882,0.0
0.32251,0.00130973,0.0
0.312716,0.0031156,0.0
0.30292,0.00490851,0.0
0.293121,0.00668877,0.0
0.28332,0.0084561,0.0
0.273517,0.0102109,0.0
0.263711,0.0119528,0.0
